worker_ID,asg_ID,payments,experiment_id,current_question,answer1,feedback,initial_time,begin_time
2113,2,,,,,,1.44758E+12,
12113,2,,19,1,,,1.44758E+12,1.44758E+12
3534,2,"[ 0, 0, 0, 0.04 ]",20,3,"{ ""3"" : { ""0"" : { ""TF_report"" : [ ""Any"" ], ""text_explanation"" : [ "" oohlala"" ], ""time"" : 81546 } } }",,1.44766E+12,1.44766E+12
334,2,,27,3,,,1.44766E+12,1.44774E+12
1,2,,28,2,,,1.44757E+12,1.44782E+12
A1JPUM7KH3020K,333U7HK6I9FC3IP4CW6ZK5KCNGADJD,,,,,,1.44782E+12,
A1Y8MOE9J7CMPQ,3KYQYYSHYV7Q4TG1S9Y4S11YMC1DOH,,,,,,1.44785E+12,
A2HR7ZIX42FEPG,3FQ5JJ512LOG0EMZJBKEHPWJGBDKN6,,,,,,1.44787E+12,
A3353NUUEEWCVR,3TAYZSBPLL8IZBAE21VWGNKVM102SX,"[ 0, 0, 0, 0.04 ]",21,3,"{ ""3"" : { ""0"" : { ""TF_report"" : [ ""No"" ], ""text_explanation"" : [ ""Statistically, there is a much higher chance that Lisa did not see a shooting star yesterday night due to the relative rarity of the event. If she and Sam both tell the truth, it is likely that their answers will match."" ], ""time"" : 80185 } } }",,1.44766E+12,1.44766E+12
A1E9VI5RSZI31F,3Y54SXRO1LLSYNWVALASWBB97B1UT0,"[ 0.04, 0, 0, 0 ]",22,0,"{ ""0"" : { ""0"" : { ""TF_report"" : [ ""Yes"" ], ""text_explanation"" : [ "" if both answer yes then they will recieve recieve a high reward of 10000"" ], ""time"" : 142707 } } }",,1.44766E+12,1.44766E+12
A2F48NO7AD9VKK,37UQDCYH6XV5D4OO28HWN1LAWLKV7F,"[ 0.04, 0, 0, 0 ]",23,0,"{ ""0"" : { ""0"" : { ""TF_report"" : [ ""Yes"" ], ""text_explanation"" : [ "" Because he said he saw it and maybe lisa did too"" ], ""time"" : 146062 } } }",,1.44766E+12,1.44766E+12
A2FLHXD97VI8F4,3BC8WZX3V3WN2GRM22ASRLN7CR3RRJ,,24,1,,,1.44766E+12,1.44766E+12
A2EARNRMFJOSIY,3Q5ZZ9ZEVOFSFOES6MRPX3N6UHS85C,"[ 0, 0, 0.04, 0 ]",25,2,"{ ""2"" : { ""0"" : { ""TF_report"" : [ ""Yes"" ], ""text_explanation"" : [ "" because he saw the shooting star so I think lisa can also seen"" ], ""time"" : 98875 } } }",,1.44767E+12,1.44767E+12
A390FQ0DA831LB,3K2755HG5S3WYG38T6FE57SKU23DF6,"[ 0, 0, 0, 0.04 ]",26,3,"{ ""3"" : { ""0"" : { ""TF_report"" : [ ""No"" ], ""text_explanation"" : [ "" Seeing a shooting star is rare. So answering 'no' has greater chance to get the prize as the other participant is also likely give the same answer."" ], ""time"" : 166470 } } }",,1.44767E+12,1.44767E+12
A3OSBMDWIRT9NZ,3HUTX6F6VUN31JILVKENWIAUPJT2OA,"[ 0, 0, 0, 0.04 ]",29,3,"{ ""3"" : { ""0"" : { ""TF_report"" : [ ""No"" ], ""text_explanation"" : [ "" The odds greatly favor neither person seeing a shooting star, as he did not see a shooting star so there is a 99% chance that Lisa didn't."" ], ""time"" : 94972 } } }",,1.44782E+12,1.44782E+12
