worker_ID,asg_ID,payments,experiment_id,current_question,answer1,feedback,initial_time,begin_time
"2113","2",,,,,,1447579441001.0,
"1","2",,,,,,1447571912041.0,
"12113","2",,19,1,,,1447579454866.0,1447579482936.0
"334","2",,,,,,1447657204065.0,
"3534","2","[ 0, 0, 0, 0.04 ]",20,3,"{ ""3"" : { ""0"" : { ""TF_report"" : [ ""Any"" ], ""text_explanation"" : [ "" oohlala"" ], ""time"" : 81546 } } }",,1447657212256.0,1447657240460.0
"A3353NUUEEWCVR","3TAYZSBPLL8IZBAE21VWGNKVM102SX","[ 0, 0, 0, 0.04 ]",21,3,"{ ""3"" : { ""0"" : { ""TF_report"" : [ ""No"" ], ""text_explanation"" : [ ""Statistically, there is a much higher chance that Lisa did not see a shooting star yesterday night due to the relative rarity of the event. If she and Sam both tell the truth, it is likely that their answers will match."" ], ""time"" : 80185 } } }",,1447657644137.0,1447657673751.0
"A1E9VI5RSZI31F","3Y54SXRO1LLSYNWVALASWBB97B1UT0","[ 0.04, 0, 0, 0 ]",22,0,"{ ""0"" : { ""0"" : { ""TF_report"" : [ ""Yes"" ], ""text_explanation"" : [ "" if both answer yes then they will recieve recieve a high reward of 10000"" ], ""time"" : 142707 } } }",,1447658997926.0,1447658913489.0
"A2F48NO7AD9VKK","37UQDCYH6XV5D4OO28HWN1LAWLKV7F","[ 0.04, 0, 0, 0 ]",23,0,"{ ""0"" : { ""0"" : { ""TF_report"" : [ ""Yes"" ], ""text_explanation"" : [ "" Because he said he saw it and maybe lisa did too"" ], ""time"" : 146062 } } }",,1447659963631.0,1447660042980.0
"A2FLHXD97VI8F4","3BC8WZX3V3WN2GRM22ASRLN7CR3RRJ",,24,1,,,1447662050297.0,1447662073193.0
"A2EARNRMFJOSIY","3Q5ZZ9ZEVOFSFOES6MRPX3N6UHS85C","[ 0, 0, 0.04, 0 ]",25,2,"{ ""2"" : { ""0"" : { ""TF_report"" : [ ""Yes"" ], ""text_explanation"" : [ "" because he saw the shooting star so I think lisa can also seen"" ], ""time"" : 98875 } } }",,1447665033164.0,1447665070877.0
"A390FQ0DA831LB","3K2755HG5S3WYG38T6FE57SKU23DF6","[ 0, 0, 0, 0.04 ]",26,3,"{ ""3"" : { ""0"" : { ""TF_report"" : [ ""No"" ], ""text_explanation"" : [ "" Seeing a shooting star is rare. So answering 'no' has greater chance to get the prize as the other participant is also likely give the same answer."" ], ""time"" : 166470 } } }",,1447665209524.0,1447665252131.0
